ID,Name,Year,Date,Time,Event,Status,Category,Latitude,Longtitude,Knots,MPH
AL011851,UNNAMED,1851,6/25/51,0,,HU,1,28,-94.8,80,92.08
AL011851,UNNAMED,1851,6/25/51,600,,HU,1,28,-95.4,80,92.08
AL011851,UNNAMED,1851,6/25/51,1200,,HU,1,28,-96,80,92.08
AL011851,UNNAMED,1851,6/25/51,1800,,HU,1,28.1,-96.5,80,92.08
AL011851,UNNAMED,1851,6/25/51,2100,L,HU,1,28.2,-96.8,80,92.08
AL011851,UNNAMED,1851,6/26/51,0,,HU,1,28.2,-97,70,80.57
AL011851,UNNAMED,1851,6/26/51,600,,TS,0,28.3,-97.6,60,69.06
AL011851,UNNAMED,1851,6/26/51,1200,,TS,0,28.4,-98.3,60,69.06
AL011851,UNNAMED,1851,6/26/51,1800,,TS,0,28.6,-98.9,50,57.55
AL011851,UNNAMED,1851,6/27/51,0,,TS,0,29,-99.4,50,57.55
AL011851,UNNAMED,1851,6/27/51,600,,TS,0,29.5,-99.8,40,46.04
AL011851,UNNAMED,1851,6/27/51,1200,,TS,0,30,-100,40,46.04
AL011851,UNNAMED,1851,6/27/51,1800,,TS,0,30.5,-100.1,40,46.04
AL011851,UNNAMED,1851,6/28/51,0,,TS,0,31,-100.2,40,46.04
AL021851,UNNAMED,1851,7/5/51,1200,,HU,1,22.2,-97.6,80,92.08
AL031851,UNNAMED,1851,7/10/51,1200,,TS,0,12,-60,50,57.55
AL041851,UNNAMED,1851,8/16/51,0,,TS,0,13.4,-48,40,46.04
AL041851,UNNAMED,1851,8/16/51,600,,TS,0,13.7,-49.5,40,46.04
AL041851,UNNAMED,1851,8/16/51,1200,,TS,0,14,-51,50,57.55
AL041851,UNNAMED,1851,8/16/51,1800,,TS,0,14.4,-52.8,50,57.55
AL041851,UNNAMED,1851,8/17/51,0,,TS,0,14.9,-54.6,60,69.06
AL041851,UNNAMED,1851,8/17/51,600,,TS,0,15.4,-56.5,60,69.06
AL041851,UNNAMED,1851,8/17/51,1200,,HU,1,15.9,-58.5,70,80.57
AL041851,UNNAMED,1851,8/17/51,1800,,HU,1,16.1,-60.4,70,80.57
AL041851,UNNAMED,1851,8/18/51,0,,HU,1,16.6,-62.5,80,92.08
AL041851,UNNAMED,1851,8/18/51,600,,HU,1,16.9,-64.1,80,92.08
AL041851,UNNAMED,1851,8/18/51,1200,,HU,2,17.2,-66,90,103.59
AL041851,UNNAMED,1851,8/18/51,1800,,HU,2,17.6,-67.6,90,103.59
AL041851,UNNAMED,1851,8/19/51,0,,HU,2,18,-69.3,90,103.59
AL041851,UNNAMED,1851,8/19/51,600,,HU,1,18.4,-71.1,70,80.57
AL041851,UNNAMED,1851,8/19/51,1200,,TS,0,18.9,-72.6,60,69.06
AL041851,UNNAMED,1851,8/19/51,1800,,TS,0,19.4,-74.3,60,69.06
AL041851,UNNAMED,1851,8/20/51,0,,HU,1,19.9,-75.9,70,80.57
AL041851,UNNAMED,1851,8/20/51,600,,HU,1,20.5,-77.6,70,80.57
AL041851,UNNAMED,1851,8/20/51,1200,,HU,1,21.2,-79,70,80.57
AL041851,UNNAMED,1851,8/20/51,1800,,HU,1,21.9,-80.4,70,80.57
AL041851,UNNAMED,1851,8/21/51,0,,TS,0,22.6,-81.4,60,69.06
AL041851,UNNAMED,1851,8/21/51,600,,TS,0,23.2,-82.5,60,69.06
AL041851,UNNAMED,1851,8/21/51,1200,,HU,1,23.9,-83.6,70,80.57
AL041851,UNNAMED,1851,8/21/51,1800,,HU,1,24.4,-84.3,70,80.57
AL041851,UNNAMED,1851,8/22/51,0,,HU,1,25,-84.9,80,92.08
AL041851,UNNAMED,1851,8/22/51,600,,HU,1,25.6,-85.5,80,92.08
AL041851,UNNAMED,1851,8/22/51,1200,,HU,2,26.2,-86,90,103.59
AL041851,UNNAMED,1851,8/22/51,1800,,HU,2,26.8,-86.3,90,103.59
AL041851,UNNAMED,1851,8/23/51,0,,HU,3,27.4,-86.5,100,115.1
AL041851,UNNAMED,1851,8/23/51,600,,HU,3,28,-86.6,100,115.1
AL041851,UNNAMED,1851,8/23/51,1200,,HU,3,28.5,-86.6,100,115.1
AL041851,UNNAMED,1851,8/23/51,1800,,HU,3,29.6,-86.1,100,115.1
AL041851,UNNAMED,1851,8/23/51,2100,L,HU,3,30.1,-85.7,100,115.1
AL041851,UNNAMED,1851,8/24/51,0,,HU,2,30.7,-85.1,90,103.59
AL041851,UNNAMED,1851,8/24/51,600,,HU,1,31.6,-84.1,70,80.57
AL041851,UNNAMED,1851,8/24/51,1200,,TS,0,32.5,-83,60,69.06
AL041851,UNNAMED,1851,8/24/51,1800,,TS,0,33.4,-81.4,50,57.55
AL041851,UNNAMED,1851,8/25/51,0,,TS,0,34,-80,40,46.04
AL041851,UNNAMED,1851,8/25/51,600,,TS,0,34.8,-78.6,40,46.04
AL041851,UNNAMED,1851,8/25/51,1200,,TS,0,35.8,-77,40,46.04
AL041851,UNNAMED,1851,8/25/51,1800,,TS,0,36.8,-75.1,40,46.04
AL041851,UNNAMED,1851,8/26/51,0,,TS,0,37.8,-73.6,40,46.04
AL041851,UNNAMED,1851,8/26/51,600,,TS,0,38.9,-71.8,40,46.04
AL041851,UNNAMED,1851,8/26/51,1200,,TS,0,40,-70,40,46.04
AL041851,UNNAMED,1851,8/26/51,1800,,TS,0,41.3,-66.8,40,46.04
AL041851,UNNAMED,1851,8/27/51,0,,TS,0,42.8,-63.3,40,46.04
AL041851,UNNAMED,1851,8/27/51,600,,TS,0,44.5,-60.2,40,46.04
AL041851,UNNAMED,1851,8/27/51,1200,,TS,0,46.4,-57.2,40,46.04
AL041851,UNNAMED,1851,8/27/51,1800,,TS,0,48.5,-54.2,40,46.04
AL051851,UNNAMED,1851,9/13/51,0,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/13/51,600,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/13/51,1200,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/13/51,1800,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/14/51,0,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/14/51,600,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/14/51,1200,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/14/51,1800,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/15/51,0,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/15/51,600,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/15/51,1200,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/15/51,1800,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/16/51,0,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/16/51,600,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/16/51,1200,,TS,0,32.5,-73.5,50,57.55
AL051851,UNNAMED,1851,9/16/51,1800,,TS,0,32.5,-73.5,50,57.55
AL061851,UNNAMED,1851,10/16/51,0,,TS,0,28.7,-78,40,46.04
AL061851,UNNAMED,1851,10/16/51,600,,TS,0,29.1,-77.8,40,46.04
AL061851,UNNAMED,1851,10/16/51,1200,,TS,0,29.5,-77.5,50,57.55
AL061851,UNNAMED,1851,10/16/51,1800,,TS,0,30.1,-77.1,50,57.55
AL061851,UNNAMED,1851,10/17/51,0,,TS,0,30.7,-76.6,60,69.06
AL061851,UNNAMED,1851,10/17/51,600,,TS,0,31.2,-76.3,60,69.06
AL061851,UNNAMED,1851,10/17/51,1200,,TS,0,31.6,-75.9,60,69.06
AL061851,UNNAMED,1851,10/17/51,1800,,TS,0,32,-75.5,60,69.06
AL061851,UNNAMED,1851,10/18/51,0,,TS,0,32.7,-74.9,60,69.06
AL061851,UNNAMED,1851,10/18/51,600,,TS,0,33.3,-74.3,60,69.06
AL061851,UNNAMED,1851,10/18/51,1200,,TS,0,34,-73.8,60,69.06
AL061851,UNNAMED,1851,10/18/51,1800,,TS,0,35.3,-73,60,69.06
AL061851,UNNAMED,1851,10/19/51,0,,TS,0,37,-72.6,50,57.55
AL061851,UNNAMED,1851,10/19/51,600,,TS,0,38.5,-72.1,50,57.55
AL061851,UNNAMED,1851,10/19/51,1200,,TS,0,40.2,-71.8,50,57.55
AL061851,UNNAMED,1851,10/19/51,1500,L,TS,0,41.1,-71.7,50,57.55
AL061851,UNNAMED,1851,10/19/51,1800,,TS,0,42,-71.6,40,46.04
AL011852,UNNAMED,1852,8/19/52,0,,TS,0,20.5,-67.1,60,69.06
AL011852,UNNAMED,1852,8/19/52,600,,TS,0,20.7,-68,60,69.06
AL011852,UNNAMED,1852,8/19/52,1200,,TS,0,20.9,-68.8,60,69.06
AL011852,UNNAMED,1852,8/19/52,1800,,TS,0,21.1,-69.6,60,69.06
AL011852,UNNAMED,1852,8/20/52,0,,HU,1,21.2,-70.6,70,80.57
AL011852,UNNAMED,1852,8/20/52,600,,HU,1,21.5,-71.9,70,80.57
AL011852,UNNAMED,1852,8/20/52,1200,,HU,1,21.7,-73,70,80.57
AL011852,UNNAMED,1852,8/20/52,1800,,HU,1,21.9,-74,70,80.57
AL011852,UNNAMED,1852,8/21/52,0,,HU,1,22.1,-74.9,80,92.08
AL011852,UNNAMED,1852,8/21/52,600,,HU,1,22.2,-76.1,80,92.08
AL011852,UNNAMED,1852,8/21/52,1200,,HU,1,22.6,-77.1,80,92.08
AL011852,UNNAMED,1852,8/21/52,1800,,HU,1,22.9,-78.1,80,92.08
AL011852,UNNAMED,1852,8/22/52,0,,HU,2,23.2,-79.3,90,103.59
AL011852,UNNAMED,1852,8/22/52,600,,HU,2,23.5,-80.1,90,103.59
AL011852,UNNAMED,1852,8/22/52,1200,,HU,2,23.8,-81.1,90,103.59
AL011852,UNNAMED,1852,8/22/52,1800,,HU,2,24.2,-82.1,90,103.59
AL011852,UNNAMED,1852,8/23/52,0,,HU,2,24.7,-83.1,90,103.59
AL011852,UNNAMED,1852,8/23/52,600,,HU,2,25.2,-83.9,90,103.59
AL011852,UNNAMED,1852,8/23/52,1200,,HU,2,25.7,-84.6,90,103.59
AL011852,UNNAMED,1852,8/23/52,1800,,HU,2,26.2,-85.3,90,103.59
AL011852,UNNAMED,1852,8/24/52,0,,HU,3,26.7,-86,100,115.1
AL011852,UNNAMED,1852,8/24/52,600,,HU,3,27.2,-86.6,100,115.1
AL011852,UNNAMED,1852,8/24/52,1200,,HU,3,27.7,-87.1,100,115.1
AL011852,UNNAMED,1852,8/24/52,1800,,HU,3,28.2,-87.5,100,115.1
AL011852,UNNAMED,1852,8/25/52,0,,HU,3,28.6,-87.8,100,115.1
AL011852,UNNAMED,1852,8/25/52,600,,HU,3,28.8,-88,100,115.1
AL011852,UNNAMED,1852,8/25/52,1200,,HU,3,29.1,-88.2,100,115.1
AL011852,UNNAMED,1852,8/25/52,1800,,HU,3,29.4,-88.4,100,115.1
AL011852,UNNAMED,1852,8/26/52,0,,HU,3,29.8,-88.6,100,115.1
AL011852,UNNAMED,1852,8/26/52,600,L,HU,3,30.2,-88.6,100,115.1
AL011852,UNNAMED,1852,8/26/52,1200,,HU,2,30.6,-88.5,90,103.59
AL011852,UNNAMED,1852,8/26/52,1800,,HU,1,31.2,-88.1,70,80.57
AL011852,UNNAMED,1852,8/27/52,0,,TS,0,31.8,-87.4,50,57.55
AL011852,UNNAMED,1852,8/27/52,600,,TS,0,32.3,-86.3,40,46.04
AL011852,UNNAMED,1852,8/27/52,1200,,TS,0,32.8,-84.8,40,46.04
AL011852,UNNAMED,1852,8/27/52,1800,,TS,0,33.2,-82.8,40,46.04
AL011852,UNNAMED,1852,8/28/52,0,,TS,0,33.5,-80.5,40,46.04
AL011852,UNNAMED,1852,8/28/52,600,,TS,0,33.8,-78.2,40,46.04
AL011852,UNNAMED,1852,8/28/52,1200,,TS,0,34,-76,40,46.04
AL011852,UNNAMED,1852,8/28/52,1800,,TS,0,34.4,-74.2,40,46.04
AL011852,UNNAMED,1852,8/29/52,0,,TS,0,35.2,-72.8,50,57.55
AL011852,UNNAMED,1852,8/29/52,600,,TS,0,36.4,-71.8,50,57.55
AL011852,UNNAMED,1852,8/29/52,1200,,TS,0,38,-70.8,50,57.55
AL011852,UNNAMED,1852,8/29/52,1800,,TS,0,39.6,-69.6,50,57.55
AL011852,UNNAMED,1852,8/30/52,0,,TS,0,41,-68,50,57.55
AL021852,UNNAMED,1852,9/5/52,0,,HU,1,17,-64.1,70,80.57
AL021852,UNNAMED,1852,9/5/52,600,,HU,1,17.4,-65.1,70,80.57
